SNGM,MELJUSO,1
NCIH1793,NCIH2110,1
NCIH446,SW48,1
TE6,HCT15,1
CCK81,KYSE150,1
NCIH1155,CL34,1
KYSE150,SW48,1
A2780,SW48,1
OPM2,HCT15,1
NCIH358,NCIH650,1
IGR1,NCIH2172,1
HGC27,SNUC5,1
HGC27,CCK81,1
NCIH2030,HCT15,1
RKO,KYSE510,1
SNUC5,TE4,1
SNGM,NCIH661,1
SNGM,KYSE150,1
NCIH2009,CCK81,1
NCIH661,SW48,1
TE11,HCT15,1
SKMEL5,HCT15,1
A2058,CCK81,1
MFE296,NCIH650,1
AGS,SNU1,1
NUGC3,SNU1,1
SNU1,CAL51,1
OVCAR8,HCT15,1
NCIH1435,RKO,1
NCIH1435,NCIH650,1
NCIH2291,HCT15,1
MDAMB453,SW48,1
SNUC5,HCC15,1
SNUC5,MELJUSO,1
SNUC5,KYSE150,1
SJSA1,HCT15,1
CCK81,TE4,1
KYSE510,SW48,1
NCIH650,CAL51,1
NCIH650,TE4,1
SBC5,HCT15,1
SW48,TE4,1
OCUM1,HCT15,1
MCF7,HCT15,1
NCIH1048,NCIH1155,1
MFE296,NALM6,1
SNUC1,HCT15,1
NCIH23,NCIH2172,1
NCIH23,NCIH1155,1
NCIH23,NCIH2110,1
MDST8,RKO,1
IGR1,NCIH1793,1
NCIH1975,HCT15,1
SNU1,NCIH1793,1
NCIH1435,NCIH2110,1
RCHACV,NALM6,1
RCHACV,NCIH2110,1
RKO,IPC298,1
RKO,NCIH446,1
TE10,HCT15,1
SUDHL6,HCT15,1
HCC15,NCIH650,1
NCIH661,NCIH650,1
UACC257,HCT15,1
CCK81,MELJUSO,1
CCK81,KYSE180,1
CCK81,TE1,1
NCIH1155,CAL51,1
A2780,RKO,1
A2780,SNGM,1
LCLC103H,HCT15,1
NCIH716,SNUC5,1
NCIH716,SW48,1
NCIH23,SW48,1
NCIH441,SW48,1
MDST8,SNUC5,1
IGR1,SNGM,1
KYSE70,SW48,1
HCC1954,HCT15,1
SNU1,SHP77,1
NCIH1435,SW48,1
RKO,NCIH1568,1
RKO,SW948,1
SNUC5,NCIH446,1
SNGM,SW948,1
NCIH146,HCT15,1
HCC15,NCIH1155,1
IPC298,CCK81,1
IPC298,SW48,1
NCIH2172,NCIH1155,1
KYM1,SW48,1
CCK81,AU565,1
SUIT2,HCT15,1
MDAMB157,HCT15,1
HCC44,HCT15,1
NCIH460,HCT15,1
UACC62,HCT15,1
NCIH358,NCIH1155,1
NCIH358,SW48,1
NCIH23,NCIH1435,1
NCIH23,TE4,1
NCIH441,SNUC5,1
SKMEL2,NCIH1155,1
MDST8,SNGM,1
MDST8,SW48,1
KARPAS422,HCT15,1
SNU61,HCT15,1
HGC27,SNU1,1
AGS,NCIH650,1
