SNGM_MELJUSO,28
NCIH1793_NCIH2110,28
NCIH446_SW48,28
TE6_HCT15,28
CCK81_KYSE150,28
NCIH1155_CL34,28
KYSE150_SW48,28
A2780_SW48,27
OPM2_HCT15,27
NCIH358_NCIH650,27
IGR1_NCIH2172,27
HGC27_SNUC5,27
HGC27_CCK81,27
NCIH2030_HCT15,27
RKO_KYSE510,27
SNUC5_TE4,27
SNGM_NCIH661,27
SNGM_KYSE150,27
NCIH2009_CCK81,27
NCIH661_SW48,27
TE11_HCT15,27
SKMEL5_HCT15,27
A2058_CCK81,26
MFE296_NCIH650,26
AGS_SNU1,26
NUGC3_SNU1,26
SNU1_CAL51,26
OVCAR8_HCT15,26
NCIH1435_RKO,26
NCIH1435_NCIH650,26
NCIH2291_HCT15,26
MDAMB453_SW48,26
SNUC5_HCC15,26
SNUC5_MELJUSO,26
SNUC5_KYSE150,26
SJSA1_HCT15,26
CCK81_TE4,26
KYSE510_SW48,26
NCIH650_CAL51,26
NCIH650_TE4,26
SBC5_HCT15,26
SW48_TE4,26
OCUM1_HCT15,25
MCF7_HCT15,25
NCIH1048_NCIH1155,25
MFE296_NALM6,25
SNUC1_HCT15,25
NCIH23_NCIH2172,25
NCIH23_NCIH1155,25
NCIH23_NCIH2110,25
MDST8_RKO,25
IGR1_NCIH1793,25
NCIH1975_HCT15,25
SNU1_NCIH1793,25
NCIH1435_NCIH2110,25
RCHACV_NALM6,25
RCHACV_NCIH2110,25
RKO_IPC298,25
RKO_NCIH446,25
TE10_HCT15,25
SUDHL6_HCT15,25
HCC15_NCIH650,25
NCIH661_NCIH650,25
UACC257_HCT15,25
CCK81_MELJUSO,25
CCK81_KYSE180,25
CCK81_TE1,25
NCIH1155_CAL51,25
A2780_RKO,24
A2780_SNGM,24
LCLC103H_HCT15,24
NCIH716_SNUC5,24
NCIH716_SW48,24
NCIH23_SW48,24
NCIH441_SW48,24
MDST8_SNUC5,24
IGR1_SNGM,24
KYSE70_SW48,24
HCC1954_HCT15,24
SNU1_SHP77,24
NCIH1435_SW48,24
RKO_NCIH1568,24
RKO_SW948,24
SNUC5_NCIH446,24
SNGM_SW948,24
NCIH146_HCT15,24
HCC15_NCIH1155,24
IPC298_CCK81,24
IPC298_SW48,24
NCIH2172_NCIH1155,24
KYM1_SW48,24
CCK81_AU565,24
SUIT2_HCT15,24
MDAMB157_HCT15,24
HCC44_HCT15,24
NCIH460_HCT15,24
UACC62_HCT15,23
NCIH358_NCIH1155,23
NCIH358_SW48,23
NCIH23_NCIH1435,23
NCIH23_TE4,23
NCIH441_SNUC5,23
SKMEL2_NCIH1155,23
MDST8_SNGM,23
MDST8_SW48,23
KARPAS422_HCT15,23
SNU61_HCT15,23
HGC27_SNU1,23
AGS_NCIH650,23
NUGC3_NALM6,23
NUGC3_NCIH2110,23
SNU1_HCC15,23
SNU1_KYSE510,23
SNU1_NCIH1568,23
K562_HCT15,23
HDMYZ_HCT15,23
RKO_KYSE180,23
SNUC5_EBC1,23
SNUC5_COLO679,23
NALM6_NCIH1793,23
WM115_HCT15,23
SNU449_HCT15,23
CORL88_CCK81,23
CMK_HCT15,23
SNGM_NCIH446,23
SNGM_COLO678,23
NCIH2009_SW48,23
CAL33_HCT15,23
IPC298_NCIH650,23
IPC298_NCIH2110,23
SHP77_NCIH1155,23
NCIH2172_NCIH1568,23
NCIH2172_TE4,23
EBC1_NCIH650,23
IGR37_HCT15,23
CCK81_HSC4,23
CCK81_KYSE510,23
SKMEL28_HCT15,23
NCIH838_NCIH650,23
KYSE150_NCIH650,23
J82_SW48,23
NCIH650_NCIH1568,23
NCIH2110_CL34,23
HCT15_RVH421,23
